m/z,20201003-ZJ-POS-MSE-AF1,20201003-ZJ-POS-MSE-AF2,20201003-ZJ-POS-MSE-AF3,20201003-ZJ-POS-MSE-AF4,20201003-ZJ-POS-MSE-AF5,20201003-ZJ-POS-MSE-AF6,20201003-ZJ-POS-MSE-AF7,20201003-ZJ-POS-MSE-AF8,20201003-ZJ-POS-MSE-AF9,20201003-ZJ-POS-MSE-AF10,20201003-ZJ-POS-MSE-AF11,20201003-ZJ-POS-MSE-AF12,20201003-ZJ-POS-MSE-AF13,20201003-ZJ-POS-MSE-AF14,20201003-ZJ-POS-MSE-AF15,20201003-ZJ-POS-MSE-F1,20201003-ZJ-POS-MSE-F2,20201003-ZJ-POS-MSE-F3,20201003-ZJ-POS-MSE-F4,20201003-ZJ-POS-MSE-F5,20201003-ZJ-POS-MSE-F6,20201003-ZJ-POS-MSE-F7,20201003-ZJ-POS-MSE-F8,20201003-ZJ-POS-MSE-F9,20201003-ZJ-POS-MSE-F10,20201003-ZJ-POS-MSE-F11,20201003-ZJ-POS-MSE-F12,20201003-ZJ-POS-MSE-F13,20201003-ZJ-POS-MSE-F14,20201003-ZJ-POS-MSE-F15,20201003-ZJ-POS-MSE-T1,20201003-ZJ-POS-MSE-T2,20201003-ZJ-POS-MSE-T3,20201003-ZJ-POS-MSE-T4,20201003-ZJ-POS-MSE-T5,20201003-ZJ-POS-MSE-T6,20201003-ZJ-POS-MSE-T7,20201003-ZJ-POS-MSE-T8,20201003-ZJ-POS-MSE-T9,20201003-ZJ-POS-MSE-T10,20201003-ZJ-POS-MSE-T11,20201003-ZJ-POS-MSE-T12,20201003-ZJ-POS-MSE-T13,20201003-ZJ-POS-MSE-T14,20201003-ZJ-POS-MSE-T15
1966.44449,291225.272,342709.1732,328427.089,336725.9053,368613.7867,362736.0934,64251.70503,384088.8162,100482.3054,353276.7159,86483.61755,349005.876,299655.0732,342884.5637,294340.9289,473805.3848,327762.8104,247012.3228,45711.28242,47269.88692,28548.63191,4095.374305,169040.1118,335894.0781,329622.9565,424814.0981,470004.1591,301002.2441,251727.8443,115173.586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1800.34488,196077.5671,225235.7959,257492.8894,257327.3686,260474.9379,263564.9731,507870.3268,285472.3281,217417.0635,226037.2522,278557.0539,224922.5411,185475.6928,202743.6743,217153.3484,196158.2781,194979.4371,144344.4616,5571.68337,300429.0454,29398.87766,299823.5096,285226.3398,149908.0892,209346.5232,238767.3389,237885.4189,59852.36449,141149.5847,35579.15108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1966.444407,159747.2566,164856.8088,187447.5406,170458.2429,159707.1203,167965.4252,290718.0762,176635.7564,199688.3943,170576.3193,161020.8877,147546.107,140234.7301,160030.5094,139474.8192,190796.3396,155470.6788,126116.3798,218660.2842,239420.3007,45980.79634,96391.70628,192343.5305,134329.8897,207229.4834,235726.051,202555.4325,210160.3144,124765.2072,247232.3896,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1800.347512,238432.9784,231472.1499,242813.3212,249814.1897,255946.06,240953.5249,97796.81232,285669.3498,118646.6488,251870.9337,60944.66617,236867.7022,193426.9538,226897.6421,219251.0055,251150.9239,221565.0119,206336.4191,18519.65418,37297.25977,29625.07221,30243.51381,54071.86778,199522.4978,266332.4122,291503.5185,250123.0389,251008.1561,187362.6784,197922.1604,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1950.629318,231495.4193,214117.9787,229633.1691,219568.5965,229639.4784,217083.9068,173353.2094,241929.6978,58515.68665,228543.5102,100115.7514,200616.619,191974.085,208135.2968,196326.0033,292579.1045,236109.989,173303.9803,36478.88721,78687.28303,9729.897423,23783.26149,90804.26734,228773.4803,208886.2455,331682.6723,311240.4097,97294.66929,171431.5461,111581.0666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1784.348849,224946.6709,220654.1456,254093.7902,243875.5627,274776.8421,225854.27,55906.31413,287558.4119,16729.75265,233148.3677,27818.96811,234446.0256,191345.5988,236992.3582,221267.3164,227066.0035,223611.811,168025.0894,1623.320903,11604.05029,2980.212061,6589.169701,11639.07048,194751.0398,197317.8528,288653.5146,283948.9089,73117.72151,128071.9257,46047.04721,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2128.499358,142178.6316,164708.2529,182554.7925,170208.5064,172221.8333,161843.1631,203125.7848,180023.2806,77838.77371,166551.7102,95024.20839,154410.5347,131388.1283,133512.3562,143829.0539,162523.0651,151831.079,105871.4443,629.6551338,112746.144,6884.754409,38348.01041,216242.1336,139205.1736,141661.8923,201453.4073,176205.2693,33646.01558,97445.76122,28966.82257,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1950.291487,170197.2335,154210.3969,165727.0943,160660.7315,165310.6535,158687.1441,124094.2577,177496.1281,34701.05055,170416.5758,62914.76877,146746.0151,137486.7828,151241.6973,141649.3652,211644.5923,172600.9773,120800.2174,21305.39706,50257.58596,1555.387142,11792.48962,58250.00282,166327.3014,151100.1355,246158.7019,234497.4725,61147.72053,125241.8414,73457.33219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1916.392777,42318.648,47206.68863,68907.6723,61880.50897,81549.8835,70956.10927,103155.6359,66976.78744,187853.9993,51925.2836,117858.5187,60945.61644,50559.42039,83989.97575,59111.85233,105359.8223,95013.22706,77927.18303,28775.17333,42515.4404,4311.121754,287400.1938,22955.37493,49748.00042,233667.8734,76868.8662,41391.25847,246224.0136,55016.44355,240075.3922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1634.24932,111547.2658,130937.3516,139645.2985,136621.0212,138671.0741,132106.1951,140671.9346,155831.9251,102602.8977,138835.6341,106189.5907,145479.5679,104599.5795,111242.7087,118779.0437,88623.05413,111644.9661,97131.62767,381.7559656,89993.84924,19895.70621,128879.4222,92105.89556,79437.53515,126098.8443,115505.0824,93662.16152,90235.32459,92703.11674,66100.55475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
